geoid,geoid20,year,denom_total_pop,lowaccess_count,lowaccess_pct,denom_li_pop,lowaccess_li_count,lowaccess_li_pct,denom_tot_kids,lowaccess_kids_count,lowaccess_kids_pct,denom_tot_seniors,lowaccess_seniors_count,lowaccess_seniors_pct
1400000US06037101110,6037101110,2019,4731,3462,73.176918,1595,1205,75.548592,931,684,73.469391,480,282,58.75
1400000US06037101122,6037101122,2019,3664,3661,99.918121,261,295,113.02682,646,645,99.8452,492,492,100
1400000US06037101220,6037101220,2019,3363,2587,76.925362,1683,1249,74.212715,756,608,80.423279,391,248,63.427109
1400000US06037101221,6037101221,2019,3260,3003,92.116562,1987,1805,90.840462,749,685,91.455276,276,256,92.753624
1400000US06037101222,6037101222,2019,2730,2514,92.087914,1664,1512,90.865387,627,574,91.54705,231,214,92.640694
1400000US06037101300,6037101300,2019,4199,739,17.599428,925,113,12.216216,704,106,15.056818,752,122,16.223404
1400000US06037101400,6037101400,2019,3903,2481,63.566486,1065,599,56.244133,682,447,65.542519,562,332,59.074734
1400000US06037102103,6037102103,2019,1740,1301,74.770119,251,184,73.30677,269,200,74.349442,279,218,78.1362
1400000US06037102104,6037102104,2019,3644,3644,100,1112,1227,110.34173,555,555,100,525,525,100
1400000US06037102105,6037102105,2019,1731,1731,100,810,760,93.827164,393,393,100,167,167,100
1400000US06037102107,6037102107,2019,3851,2536,65.853027,1133,659,58.164165,714,531,74.369751,779,367,47.111683
1400000US06037103101,6037103101,2019,2670,2670,100,640,628,98.125,516,516,100,324,324,100
1400000US06037103102,6037103102,2019,4751,2222,46.7691,992,404,40.725807,924,424,45.887447,584,247,42.294521
1400000US06037103201,6037103201,2019,1621,1168,72.054291,582,389,66.838486,306,216,70.588234,238,176,73.949577
1400000US06037103202,6037103202,2019,3929,2831,72.053955,1409,943,66.926895,742,525,70.754715,578,427,73.875435
1400000US06037103300,6037103300,2019,3819,3749,98.167061,337,354,105.04451,780,764,97.948715,581,571,98.278831
1400000US06037103401,6037103401,2019,3443,942,27.359861,961,188,19.562956,640,170,26.5625,465,123,26.451612
1400000US06037103402,6037103402,2019,2700,739,27.370371,754,148,19.628647,502,134,26.693228,365,96,26.301371
1400000US06037104103,6037104103,2019,4085,1468,35.936352,911,371,40.72448,1138,416,36.555359,337,114,33.827892
1400000US06037104105,6037104105,2019,5411,0,0,3299,0,0,1769,0,0,306,0,0
1400000US06037104108,6037104108,2019,5256,772,14.687976,2762,439,15.894279,1646,276,16.767921,439,32,7.2892938
1400000US06037104124,6037104124,2019,4174,3706,88.787735,897,613,68.338905,1035,902,87.149757,389,356,91.516708
1400000US06037104201,6037104201,2019,4780,4302,90,2559,2625,102.57913,1530,1388,90.718956,274,243,88.686134
1400000US06037104203,6037104203,2019,5210,1678,32.207294,2953,813,27.531324,1741,522,29.982769,354,111,31.355932
1400000US06037104204,6037104204,2019,3371,2606,77.306435,1612,1335,82.816376,988,778,78.744942,260,185,71.153847
1400000US06037104310,6037104310,2019,4921,3833,77.890671,2402,1776,73.938385,1571,1239,78.866966,339,245,72.271385
1400000US06037104321,6037104321,2019,2573,35,1.3602798,1234,15,1.2155591,800,9,1.125,209,2,.95693779
1400000US06037104322,6037104322,2019,3425,47,1.3722627,1643,19,1.1564212,1065,13,1.2206572,279,3,1.0752689
1400000US06037104401,6037104401,2019,3357,181,5.3917189,1415,74,5.229682,996,49,4.9196787,288,13,4.5138888
1400000US06037104403,6037104403,2019,3265,86,2.633997,1361,38,2.7920647,950,26,2.7368422,290,11,3.7931035
1400000US06037104404,6037104404,2019,3236,0,0,1681,0,0,987,0,0,238,0,0
1400000US06037104500,6037104500,2019,3293,0,0,1300,0,0,1028,0,0,280,0,0
1400000US06037104610,6037104610,2019,3672,0,0,1817,0,0,1154,0,0,260,0,0
1400000US06037104620,6037104620,2019,3539,0,0,1761,0,0,1040,0,0,307,0,0
1400000US06037104701,6037104701,2019,4208,0,0,3370,0,0,1676,0,0,230,0,0
1400000US06037104703,6037104703,2019,2389,1196,50.062786,1531,832,54.343567,777,424,54.568855,103,38,36.893204
1400000US06037104704,6037104704,2019,4219,2778,65.844986,2328,1493,64.132301,1379,942,68.310371,256,133,51.953125
1400000US06037104821,6037104821,2019,3514,1,.028457599,1420,1,.070422538,1090,0,0,219,0,0
1400000US06037104822,6037104822,2019,2261,0,0,1427,0,0,721,0,0,224,0,0
1400000US06037104823,6037104823,2019,2520,300,11.904762,1203,116,9.64256,771,90,11.673152,189,26,13.756614
1400000US06037104824,6037104824,2019,2808,334,11.894587,1340,129,9.6268654,860,101,11.744186,210,28,13.333333
1400000US06037106010,6037106010,2019,3148,3148,100,1019,1035,101.57017,770,770,100,318,318,100
1400000US06037106020,6037106020,2019,5556,4142,74.550034,2111,1453,68.829941,1501,1091,72.684875,473,384,81.183929
1400000US06037106111,6037106111,2019,3153,3153,100,763,743,97.378769,726,726,100,322,322,100
1400000US06037106112,6037106112,2019,5945,5737,96.501259,1217,1306,107.31306,1637,1573,96.090408,544,532,97.794121
1400000US06037106113,6037106113,2019,3493,1819,52.075581,1245,555,44.578312,916,491,53.602619,405,210,51.851852
1400000US06037106114,6037106114,2019,5876,1100,18.720219,3297,621,18.835304,1868,326,17.45182,372,65,17.473118
1400000US06037106403,6037106403,2019,3825,745,19.477123,1296,386,29.783951,1133,187,16.504854,284,69,24.295774
1400000US06037106405,6037106405,2019,3966,3885,97.957642,2188,1786,81.62706,1199,1175,97.998329,216,212,98.148148
1400000US06037106406,6037106406,2019,4788,4788,100,1470,1317,89.591835,1293,1293,100,491,491,100
1400000US06037106407,6037106407,2019,2933,0,0,1783,0,0,838,0,0,478,0,0
1400000US06037106408,6037106408,2019,3463,505,14.582732,1926,262,13.603323,1237,173,13.985449,115,22,19.130434
1400000US06037106510,6037106510,2019,5269,5269,100,1005,1012,100.69652,1630,1630,100,395,395,100
1400000US06037106520,6037106520,2019,5837,5837,100,2172,2174,100.09208,1638,1638,100,541,541,100
1400000US06037106603,6037106603,2019,2007,2007,100,234,217,92.735046,383,383,100,324,324,100
1400000US06037106604,6037106604,2019,5019,5019,100,2747,2717,98.907898,1561,1561,100,410,410,100
1400000US06037106641,6037106641,2019,2317,2317,100,352,347,98.579544,445,445,100,395,395,100
1400000US06037106642,6037106642,2019,3236,2868,88.627937,330,312,94.545456,664,584,87.951805,539,482,89.424858
1400000US06037106643,6037106643,2019,4318,4318,100,477,443,92.872116,943,943,100,574,574,100
1400000US06037106645,6037106645,2019,3389,3389,100,617,589,95.461914,630,630,100,741,741,100
1400000US06037106646,6037106646,2019,3237,2343,72.381836,525,352,67.047623,678,501,73.893806,522,367,70.306511
1400000US06037106648,6037106648,2019,3890,2791,71.74807,2062,1219,59.117363,1269,876,69.030731,285,219,76.842102
1400000US06037106649,6037106649,2019,2853,1421,49.80722,643,246,38.258163,758,375,49.472294,261,116,44.444443
1400000US06037107010,6037107010,2019,3247,1206,37.141975,1331,521,39.143501,901,360,39.955605,263,89,33.840305
1400000US06037107020,6037107020,2019,5400,4147,76.796295,1692,1155,68.262413,1667,1319,79.124176,306,218,71.241829
1400000US06037108101,6037108101,2019,2230,2230,100,307,283,92.182411,408,408,100,397,397,100
1400000US06037108102,6037108102,2019,3430,1671,48.717201,786,358,45.547073,675,338,50.074074,661,310,46.89864
1400000US06037108103,6037108103,2019,3255,3255,100,225,238,105.77778,606,606,100,528,528,100
1400000US06037108104,6037108104,2019,1698,1698,100,352,311,88.352272,383,383,100,315,315,100
1400000US06037108202,6037108202,2019,4824,3901,80.866501,807,423,52.416355,1124,993,88.345192,600,388,64.666664
1400000US06037108203,6037108203,2019,2716,2237,82.36377,175,150,85.714287,674,541,80.267059,314,264,84.076431
1400000US06037108204,6037108204,2019,2835,2335,82.363319,182,156,85.714287,704,565,80.255684,327,276,84.403671
1400000US06037109100,6037109100,2019,2489,2129,85.536362,715,609,85.174828,520,459,88.269234,666,558,83.783783
1400000US06037109200,6037109200,2019,2275,2275,100,336,284,84.523811,511,511,100,296,296,100
1400000US06037109300,6037109300,2019,3085,3064,99.31929,636,597,93.867928,694,689,99.279541,401,399,99.501244
